               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.040658,            0.053744,                   0,             0.89947,              0.9011,             0.90837,             0.32717,            0.045153,            0.043295,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.041387,            0.053563,                   0,             0.85032,             0.83516,             0.82849,             0.27812,            0.051466,             0.05176,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.041289,            0.052598,                   0,             0.92221,             0.94505,              0.9562,             0.33086,            0.045532,            0.045696,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.041267,            0.052983,                   0,             0.75593,             0.74878,             0.80603,             0.29928,            0.052949,            0.043312,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.040254,            0.054393,                   0,             0.91273,             0.91944,             0.92487,             0.33681,            0.045238,            0.044735,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.040365,             0.05204,                   0,              0.8373,             0.84615,             0.86418,             0.30759,            0.049299,            0.044284,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.040449,            0.052514,                   0,             0.96518,             0.96703,             0.95759,             0.33383,            0.046542,            0.045696,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.039276,            0.051841,                   0,             0.83305,             0.85714,             0.82942,             0.26513,            0.050042,            0.046143,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.037412,            0.052529,                   0,             0.87753,             0.87912,             0.83633,             0.27119,            0.048169,            0.045666,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.039549,            0.050706,                   0,             0.94349,             0.94505,             0.94671,             0.32869,            0.045137,            0.045018,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.038887,            0.051266,                   0,             0.75417,             0.74725,             0.72536,             0.23364,            0.054001,            0.048494,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.038434,            0.050865,                   0,             0.93401,             0.93318,             0.94587,             0.34569,            0.046127,            0.044673,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.037897,            0.052684,                   0,             0.93108,             0.92308,             0.94389,             0.34353,            0.044988,            0.044505,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.038715,             0.05312,                   0,             0.84749,              0.8022,             0.86785,             0.30453,            0.051232,            0.046535,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.036798,             0.05427,                   0,             0.91053,             0.91209,              0.9265,              0.3296,            0.047218,            0.045228,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.036718,            0.050686,                   0,             0.87472,             0.87912,             0.87834,             0.32462,            0.046711,            0.047009,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.037095,            0.050699,                   0,             0.87789,             0.87912,             0.84546,             0.27409,            0.050336,            0.045568,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.037817,            0.049181,                   0,             0.85596,             0.85714,             0.86306,             0.30418,            0.047781,            0.046864,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.03711,            0.050604,                   0,             0.83397,             0.83516,              0.8125,             0.26985,            0.050749,            0.045904,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.038615,            0.050369,                   0,             0.96696,             0.96485,             0.97586,             0.33518,            0.045586,             0.04534,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.036215,            0.050252,                   0,             0.86696,             0.86813,             0.87032,             0.29531,            0.048988,            0.047095,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.037115,             0.04817,                   0,             0.90154,             0.92308,             0.90586,             0.30207,             0.04694,            0.046673,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.036452,            0.050897,                   0,             0.93393,             0.93205,             0.92604,             0.31944,            0.046297,            0.046211,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.037157,            0.049238,                   0,             0.85089,             0.86813,             0.84796,             0.29854,            0.047227,            0.046512,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.03637,            0.048748,                   0,             0.91221,             0.92308,             0.93255,             0.31596,            0.047184,            0.046696,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.038537,            0.048177,                   0,             0.91053,             0.91209,             0.88928,             0.28122,            0.048843,            0.046059,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.035485,            0.050534,                   0,             0.92297,              0.9217,             0.91862,             0.34503,             0.04481,            0.046726,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.036629,             0.05114,                   0,             0.89732,             0.91209,             0.88749,             0.32139,            0.046154,            0.045846,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.035429,            0.051607,                   0,             0.86791,             0.87912,             0.88912,             0.31124,            0.047915,            0.046962,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.035261,            0.048731,                   0,             0.84585,             0.84419,             0.81015,             0.29146,            0.051077,            0.047215,                   0,            0.007789,            0.007789,            0.007789
